시군구명,MI,동인1,기여1,동인2,기여2,동인3,기여3
하동군,-0.865,NAR,-0.123,CDI,-0.1228,AGI,-0.1199
함양군,-0.151,CDI,-0.0997,LRR,-0.0888,YR,-0.0819
합천군,-1.016,TREND,-0.2472,CDI,-0.1335,NAR,-0.1327
남해군,-0.61,TREND,-0.2347,LRR,-0.1345,NAR,-0.0636
의령군,-0.963,TREND,-0.2862,CDI,-0.1653,STI,-0.1123
산청군,-0.642,CDI,-0.1365,NAR,-0.1166,AGI,-0.104
창녕군,0.016,STI,-0.0934,YR,-0.0551,LRR,-0.0492
고성군,0.168,YR,-0.0702,NAR,-0.0548,STI,-0.0294
밀양시,0.529,AGI,-0.0272,LRR,0.0429,STI,0.0481
함안군,0.822,CDI,-0.0955,NAR,-0.0616,LRR,0.0517
거창군,0.727,AGI,-0.0553,STI,0.0566,YR,0.0679
사천시,0.969,TREND,-0.0336,YR,0.0679,STI,0.0803
통영시,1.015,YR,0.0869,STI,0.0899,AGI,0.0959
