시군,통과성,식음료,체류성,숙박,여가,운송,쇼핑,체류전환지수
산청군,78.1,20.0,1.8,1.0,0.8,59.5,18.6,2.3
함안군,77.3,17.8,4.3,0.4,3.9,62.6,14.7,5.3
의령군,50.8,43.0,5.699999999999999,1.6,4.1,20.5,30.3,10.1
함양군,70.1,23.5,6.1,1.8,4.3,47.2,22.9,8.0
하동군,65.3,27.8,6.6,3.0,3.6,41.1,24.2,9.2
사천시,63.1,25.5,10.4,2.0,8.4,39.0,24.1,14.1
통영시,49.599999999999994,38.8,10.5,6.4,4.1,15.8,33.8,17.5
거창군,54.5,33.0,11.0,2.5,8.5,23.3,31.2,16.8
창녕군,69.0,18.7,11.6,2.1,9.5,54.9,14.1,14.4
고성군,68.69999999999999,18.9,11.8,1.3,10.5,49.8,18.9,14.7
합천군,47.0,37.9,14.8,2.0,12.8,10.2,36.8,23.9
밀양시,46.6,32.5,20.1,2.5,17.6,17.8,28.8,30.1
남해군,34.5,41.8,23.4,14.8,8.6,5.9,28.6,40.4
