시군구명,LRR,CDI,NAR,AGI,YR,TREND
거제시,0.9622154802321333,1.8624860823889242,0.32345438605437565,0.14903580853210996,0.2329512441784784,0.0040002567576372175
거창군,0.8960669083184963,1.8137139495740995,0.2772423669666055,0.23804175644454256,0.21763391065790538,0.004246980435232597
고성군,0.9276972915896867,1.515777342433147,0.21450089628426527,0.20232633337110084,0.18956068563643413,-0.00190267451233756
김해시,0.8891442628006044,1.8422220339295747,0.28824640579187194,0.16883964180692843,0.2870279194985734,0.003386744818085388
남해군,0.7430818648313503,1.5513416854825086,0.2200151371627799,0.18048417782437537,0.2644940225065383,0.013031759239600205
밀양시,0.8070000970072109,1.8885009253449252,0.2487158608598432,0.22471239461343454,0.23314252611528716,0.005570962735483981
사천시,0.901459180199286,1.7360024984945868,0.28700199050344255,0.16720739306377533,0.26435594069190554,0.00913614657171494
산청군,0.9304971386605413,1.2785978399663975,0.1917493803516049,0.2705563493375462,0.12654671264668685,0.008692805515557634
양산시,0.7824848156799299,1.7928259187189362,0.25710790173611564,0.21569722209877135,0.25389533115808993,0.0019145504129605784
의령군,0.8702603127195596,1.2795195888270614,0.24305733841494237,0.21447396327742932,0.23869933676683405,0.014734469557502705
진주시,0.9616306760085461,1.8311759978749031,0.3019551506055437,0.13127282504993104,0.3694273965941765,0.0057562046656157865
창녕군,0.7716244432832386,1.6288162112309985,0.23423561852613634,0.22731068419829772,0.1532624095714654,0.004192937118313698
창원시 마산합포구,0.9823447675759631,1.7106287180503557,0.31431087193263985,0.19419788632071192,0.30410231228422924,-4.463016316822718e-05
창원시 마산회원구,0.9867936805591947,1.7149869840634155,0.23872391923787162,0.20452442397779266,0.27994950611250924,-0.0010462642264954958
창원시 성산구,0.9547602584473192,1.7675612532129588,0.325894350561775,0.11995120286936162,0.4077687603143459,0.00412949177386165
창원시 의창구,0.9695764911578104,1.7948183536129163,0.2656286807231341,0.17456291344596866,0.30262479121200153,0.003238828576843462
창원시 진해구,0.8836347882779821,1.7622875945756868,0.3203493715023437,0.17288828450673802,0.31761666946124056,0.0021725342855958155
통영시,0.9553607234429771,1.8655488271367544,0.29996071109169287,0.19175852583944578,0.2198085051708492,0.0029928122334093154
하동군,0.728953453246927,1.459569739607648,0.19650160823098964,0.24677113903549427,0.19542126584623276,-0.004206207853682329
함안군,0.786547260972863,1.3760553029562361,0.20156982690460928,0.21344384569778277,0.21876751396242802,0.005338708092194979
함양군,0.6552362978479979,1.4142784065769167,0.236742487718493,0.237354602483709,0.19651024439685652,-0.01429136716194039
합천군,0.7671502125273351,1.4514796472812677,0.1981824563778195,0.2400698841103581,0.19534062189656934,0.016291401885944988
