시군구명,MI요인,CPC요인,LRR요인,TREND요인,위험점수,1위요인,1위기여율
하동군,0.3701956699960022,0.24383276497336798,0.15087560417464252,0.10053509072804809,0.8654391298720607,MI,0.428
함양군,0.2296041195350882,0.19807732388345395,0.2,0.15,0.7776814434185422,MI,0.295
합천군,0.4,0.25,0.1254216550635795,0.0,0.7754216550635795,MI,0.516
남해군,0.3201114968630224,0.23111639835312864,0.14146056802327656,0.0159876431132228,0.7086761063526504,MI,0.452
의령군,0.38954650110353095,0.2479423547641093,0.05671008652808643,0.0076363212533392035,0.7018352636490659,MI,0.555
산청군,0.3264161538123803,0.23290062409118736,0.01656885122438494,0.03726900771390129,0.6131546368418539,MI,0.532
창녕군,0.1968651832659869,0.1818592011680652,0.1224400711774738,0.05933961415669085,0.5605040697682168,MI,0.351
고성군,0.16692647895633492,0.16447302776833558,0.01843464209782272,0.08923689857740588,0.4390710473998991,MI,0.38
밀양시,0.09573721455692835,0.11078874399713982,0.09886607938800712,0.05258078070207799,0.3579728186441533,CPC,0.309
함안군,0.03805712545487932,0.050566570809975106,0.112495650519248,0.05371992531121399,0.2548392720953164,LRR,0.441
거창군,0.05676205999983408,0.07205861641399534,0.03951282206167278,0.05907454667620396,0.22740804515170618,CPC,0.317
사천시,0.009103242719422887,0.012999154471757562,0.03591946449332442,0.03509454279480026,0.09311640447930514,LRR,0.386
통영시,0.0,0.0,0.0,0.0652258938605914,0.0652258938605914,TREND,1.0
