시군구명,LRR,CDI,NAR,AGI,YR,TREND,MI,CPC,STI,인구감소구분,연평균_생활인구,연간매출,Cluster,침체유형,위험점수
거창군,0.8960669083184963,1.8137139495740995,0.2772423669666055,0.23804175644454256,0.21763391065790538,0.004246980435232597,0.7271394448972561,65035.72049792237,0.22602624296822604,감소,234641.66666666666,183121078206,1,상대적 양호형,0.22740804515170573
고성군,0.9276972915896867,1.515777342433147,0.21450089628426527,0.20232633337110084,0.18956068563643413,-0.00190267451233756,0.16769316954887792,37169.569031766914,0.04846695130072942,감소,277164.6666666667,123625094530,0,경계형 (혼합),0.43907104739989933
남해군,0.7430818648313503,1.5513416854825086,0.2200151371627799,0.18048417782437537,0.2644940225065383,0.013031759239600205,-0.610223952139112,17074.280518697207,0.1537709870460433,감소,297880.9166666667,61033227988,0,경계형 (혼합),0.7086761063526508
밀양시,0.8070000970072109,1.8885009253449252,0.2487158608598432,0.22471239461343454,0.23314252611528716,0.005570962735483981,0.5292125166328461,53357.24323751679,0.18150725876867235,감소,506972.9166666667,324608126753,1,상대적 양호형,0.357972818644153
사천시,0.901459180199286,1.7360024984945868,0.28700199050344255,0.16720739306377533,0.26435594069190554,0.00913614657171494,0.9691644840849349,82844.19742130807,0.08257677533690555,관심,485601.5,482751198409,1,상대적 양호형,0.09311640447930508
산청군,0.9304971386605413,1.2785978399663975,0.1917493803516049,0.2705563493375462,0.12654671264668685,0.008692805515557634,-0.6422407946103661,16536.274552550654,0.7179044504397485,감소,251290.08333333334,49864821724,2,소비전환 취약형,0.6131546368418538
의령군,0.8702603127195596,1.2795195888270614,0.24305733841494237,0.21447396327742932,0.23869933676683405,0.014734469557502705,-0.9628346668244916,12000.670861502796,0.02166338239218346,감소,145436.75,20944062815,2,소비전환 취약형,0.7018352636490662
창녕군,0.7716244432832386,1.6288162112309985,0.23423561852613634,0.22731068419829772,0.1532624095714654,0.004192937118313698,0.01565590766848146,31927.034514979623,-0.08837640242406775,감소,298049.3333333333,114189976230,0,경계형 (혼합),0.5605040697682163
통영시,0.9553607234429771,1.8655488271367544,0.29996071109169287,0.19175852583944578,0.2198085051708492,0.0029928122334093154,1.015393341652679,86763.89351776474,0.10147393795773274,관심,523091.1666666667,544625115417,1,상대적 양호형,0.06522589386059137
하동군,0.728953453246927,1.459569739607648,0.19650160823098964,0.24677113903549427,0.19542126584623276,-0.004206207853682329,-0.864565638670518,13239.854771179735,-0.1323588787259865,감소,254546.58333333334,40441917550,3,외부의존+소비전환 취약형,0.8654391298720608
함안군,0.786547260972863,1.3760553029562361,0.20156982690460928,0.21344384569778277,0.21876751396242802,0.005338708092194979,0.822128426466179,71516.31794308503,0.069097206859281,감소,285106.5833333333,244677276736,0,경계형 (혼합),0.2548392720953161
함양군,0.6552362978479979,1.4142784065769167,0.236742487718493,0.237354602483709,0.19651024439685652,-0.01429136716194039,-0.1506017291266506,27036.70780661723,0.6016793676029379,감소,185326.75,60127502262,3,외부의존+소비전환 취약형,0.7776814434185422
합천군,0.7671502125273351,1.4514796472812677,0.1981824563778195,0.2400698841103581,0.19534062189656934,0.016291401885944988,-1.015920509580102,11380.219430101133,0.0653213452806587,감소,254764.5,34791310956,2,소비전환 취약형,0.7754216550635795
